Location,Feature Combination,Metric,Value
New Delhi,ghi_only,Mean Absolute Percentage Error (All),1745538865779.6494
New Delhi,ghi_only,Mean Squared Percentage Error (All),5.114334889298309e+23
New Delhi,Temperature,Mean Absolute Error (Non-zero),133.51174814084195
New Delhi,Temperature,Mean Squared Error (Non-zero),34106.21449769563
New Delhi,Temperature,Root Mean Squared Error (Non-zero),184.6786790555305
New Delhi,Temperature,R² Score (Non-zero),0.5242748956663101
New Delhi,Temperature,Mean Absolute Percentage Error (Non-zero),166.52185016794695
New Delhi,Temperature,Mean Squared Percentage Error (Non-zero),2063.034209519044
New Delhi,Temperature,Non-zero Values Percentage,49.107142857142854
New Delhi,Temperature,Mean Absolute Error (All),67.95104503373688
New Delhi,Temperature,Mean Squared Error (All),16804.397344752233
New Delhi,Temperature,Root Mean Squared Error (All),129.63177598394705
New Delhi,Temperature,R² Score (All),0.7374553595077835
New Delhi,Temperature,Mean Absolute Percentage Error (All),2387240143226.6255
New Delhi,Temperature,Mean Squared Percentage Error (All),5.5809868205272116e+23
New Delhi,Relative Humidity,Mean Absolute Error (Non-zero),137.0779175251514
New Delhi,Relative Humidity,Mean Squared Error (Non-zero),34445.74978193279
New Delhi,Relative Humidity,Root Mean Squared Error (Non-zero),185.59566207735782
New Delhi,Relative Humidity,R² Score (Non-zero),0.5195389417969764
New Delhi,Relative Humidity,Mean Absolute Percentage Error (Non-zero),145.45450965865106
New Delhi,Relative Humidity,Mean Squared Percentage Error (Non-zero),1258.311730589955
New Delhi,Relative Humidity,Non-zero Values Percentage,49.107142857142854
New Delhi,Relative Humidity,Mean Absolute Error (All),70.80614378705626
New Delhi,Relative Humidity,Mean Squared Error (All),16986.073811928713
New Delhi,Relative Humidity,Root Mean Squared Error (All),130.3306326691032
New Delhi,Relative Humidity,R² Score (All),0.7346169249134218
New Delhi,Relative Humidity,Mean Absolute Percentage Error (All),3491095002455.1284
New Delhi,Relative Humidity,Mean Squared Percentage Error (All),7.075025830100189e+23
New Delhi,Pressure,Mean Absolute Error (Non-zero),135.08840927266297
New Delhi,Pressure,Mean Squared Error (Non-zero),34901.540309538206
New Delhi,Pressure,Root Mean Squared Error (Non-zero),186.8195394211703
New Delhi,Pressure,R² Score (Non-zero),0.5131814201695308
New Delhi,Pressure,Mean Absolute Percentage Error (Non-zero),172.59424569726633
New Delhi,Pressure,Mean Squared Percentage Error (Non-zero),2129.3162974959723
New Delhi,Pressure,Non-zero Values Percentage,49.107142857142854
New Delhi,Pressure,Mean Absolute Error (All),73.5355590719102
New Delhi,Pressure,Mean Squared Error (All),17292.588147810766
New Delhi,Pressure,Root Mean Squared Error (All),131.50128572683525
New Delhi,Pressure,R² Score (All),0.7298280774189893
New Delhi,Pressure,Mean Absolute Percentage Error (All),7197500947026.53
New Delhi,Pressure,Mean Squared Percentage Error (All),1.5343888866253596e+24
New Delhi,Precipitable Water,Mean Absolute Error (Non-zero),132.7756104267022
New Delhi,Precipitable Water,Mean Squared Error (Non-zero),33101.69111568315
