Location,Metric,Feature Combination,Individual,Joint,GNN,Complete
New Delhi,Mean Squared Error (All),ghi_only,True,True,True,True
New Delhi,Mean Squared Error (All),Wind Speed,True,True,True,True
New Delhi,Mean Squared Error (All),meteorological_only,True,True,True,True
New Delhi,Mean Squared Error (All),all,True,True,True,True
New Delhi,Mean Squared Error (All),Wind Direction,True,True,True,True
New Delhi,Mean Squared Error (All),Relative Humidity,True,True,True,True
New Delhi,Mean Squared Error (All),Temperature,True,True,True,True
New Delhi,Mean Squared Error (All),Precipitable Water,True,True,True,True
New Delhi,Mean Squared Error (All),Pressure,True,True,True,True
New Delhi,R² Score (All),ghi_only,True,True,True,True
New Delhi,R² Score (All),Wind Speed,True,True,True,True
New Delhi,R² Score (All),meteorological_only,True,True,True,True
New Delhi,R² Score (All),all,True,True,True,True
New Delhi,R² Score (All),Wind Direction,True,True,True,True
New Delhi,R² Score (All),Relative Humidity,True,True,True,True
New Delhi,R² Score (All),Temperature,True,True,True,True
New Delhi,R² Score (All),Precipitable Water,True,True,True,True
New Delhi,R² Score (All),Pressure,True,True,True,True
New Delhi,R² Score (Non-zero),ghi_only,True,True,True,True
New Delhi,R² Score (Non-zero),Wind Speed,True,True,True,True
New Delhi,R² Score (Non-zero),meteorological_only,True,True,True,True
New Delhi,R² Score (Non-zero),all,True,True,True,True
New Delhi,R² Score (Non-zero),Wind Direction,True,True,True,True
New Delhi,R² Score (Non-zero),Relative Humidity,True,True,True,True
New Delhi,R² Score (Non-zero),Temperature,True,True,True,True
New Delhi,R² Score (Non-zero),Precipitable Water,True,True,True,True
New Delhi,R² Score (Non-zero),Pressure,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),ghi_only,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),Wind Speed,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),meteorological_only,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),all,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),Wind Direction,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),Relative Humidity,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),Temperature,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),Precipitable Water,True,True,True,True
New Delhi,Mean Absolute Error (Non-zero),Pressure,True,True,True,True
New Delhi,Root Mean Squared Error (All),ghi_only,True,True,True,True
New Delhi,Root Mean Squared Error (All),Wind Speed,True,True,True,True
New Delhi,Root Mean Squared Error (All),meteorological_only,True,True,True,True
New Delhi,Root Mean Squared Error (All),all,True,True,True,True
New Delhi,Root Mean Squared Error (All),Wind Direction,True,True,True,True
New Delhi,Root Mean Squared Error (All),Relative Humidity,True,True,True,True
New Delhi,Root Mean Squared Error (All),Temperature,True,True,True,True
New Delhi,Root Mean Squared Error (All),Precipitable Water,True,True,True,True
New Delhi,Root Mean Squared Error (All),Pressure,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),ghi_only,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),Wind Speed,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),meteorological_only,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),all,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),Wind Direction,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),Relative Humidity,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),Temperature,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),Precipitable Water,True,True,True,True
New Delhi,Mean Squared Error (Non-zero),Pressure,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),ghi_only,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),Wind Speed,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),meteorological_only,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),all,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),Wind Direction,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),Relative Humidity,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),Temperature,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),Precipitable Water,True,True,True,True
New Delhi,Root Mean Squared Error (Non-zero),Pressure,True,True,True,True
New Delhi,Mean Absolute Error (All),ghi_only,True,True,True,True
New Delhi,Mean Absolute Error (All),Wind Speed,True,True,True,True
New Delhi,Mean Absolute Error (All),meteorological_only,True,True,True,True
New Delhi,Mean Absolute Error (All),all,True,True,True,True
New Delhi,Mean Absolute Error (All),Wind Direction,True,True,True,True
